T average (derajat C),Sun Radiation (W/m2),RH Avg (%),Wind Direction (degree),Wind Speed Avg (m/s),Pressure Avg (hpA),Rain Rate (mm)
25.79861111,222.3680556,87.88819444,115.3694444,2.255555556,999.1305556,4
27.05694444,242.9916667,83.30138889,149.0166667,2.757638889,999.8875,1.8
27.18819444,220.4472222,82.21319444,206.1798611,2.511805556,1000.233333,0
27.34652778,263.8451389,79.95694444,241.2465278,2.857638889,999.7,1.2
25.93888889,141.8493056,86.34305556,226.90625,2.175694444,1000.132639,1
26.33194444,206.4944444,84.55208333,228.1270833,2.656944444,999.7527778,51.2
26.7125,271.4958333,80.78125,207.9194444,3.128472222,998.7013889,0.2
25.99652778,178.2972222,81.01319444,226.6243056,2.715972222,997.9520833,0.4
27.17916667,264.0159722,82.03958333,240.8951389,2.76875,997.3236111,0
26.36944444,165.5277778,87.40486111,193.0763889,2.334027778,998.4847222,5.6
26.54444444,215.1513889,87.29305556,144.2159722,2.400694444,997.4673611,33.4
26.93472222,206.2854167,85.16805556,141.4923611,2.166666667,997.5375,0.2
26.03888889,189.93125,89.32986111,154.2743056,1.9125,997.3576389,4.4
26.42152778,262.1680556,88.25069444,167.6291667,2.478472222,998.2215278,49.4
25.43194444,163.2555556,91.41388889,190.1423611,2.100694444,999.3201389,13.2
26.63055556,238.3270833,86.48611111,211.0277778,2.582638889,1000.268056,5.6
26.1125,189.8854167,89.26736111,183.6618056,2.183333333,999.2722222,0.2
27.74444444,281.7576389,78.59097222,202.4784722,4.053472222,997.7736111,0.2
28.40902778,308.825,74.75694444,190.8618056,3.623611111,998.2986111,0
27.26875,247.5902778,81.00277778,197.9423611,3.199305556,999.3659722,2.6
27.88541667,263.9909722,77.33472222,224.1451389,3.173611111,999.6569444,1.2
27.66364144,276.0636945,76.48228355,204.4027934,3.603909566,999.1295929,0.2
27.68958333,270.7506944,74.76041667,199.1055556,3.490972222,999.08125,0
28.20902778,282.5736111,75.23263889,203.1458333,3.005555556,998.8277778,5.6
27.09375,233.6069444,82.18611111,226.3666667,2.413194444,999.3090278,0
27.28402778,226.9055556,82.19027778,203.7027778,2.586805556,998.9041667,0.6
27.89444444,186.3673611,78.49444444,202.38125,2.918055556,997.7118056,0
27.30833333,237.0506944,85.02569444,220.9555556,2.538194444,997.4208333,1
27.12083333,161.6465278,84.5125,240.1465278,2.521527778,998.0888889,0.2
27.50208333,171.46875,80.39652778,229.4513889,2.428472222,997.3979167,0
26.89791667,205.4895833,81.55972222,188.0520833,2.304861111,997.2819444,0
26.57361111,235.6993056,84.51805556,157.6381944,2.189583333,997.3506944,53.2
27.79513889,281.0354167,81.62083333,171.7979167,2.429861111,998.4173611,15
27.10416667,225.2493056,85.72222222,192.4847222,2.288888889,998.2284722,0
27.62361111,225.6180556,85.46944444,205.9034722,2.202777778,998.2305556,0.8
27.21736111,163.8784722,83.64027778,223.5388889,2.885416667,998.6305556,0.2
28.04652778,232.1173611,81.48611111,153.5923611,1.978472222,998.0569444,0
26.82222222,180.4548611,86.43611111,200.5173611,2.904166667,996.8055556,42.2
25.87083333,149.4180556,90.32083333,211.7923611,2.513194444,995.7881944,50.4
26.77916667,203.6416667,87.60416667,180.4625,2.271527778,996.0465278,13.4
26.76527778,198.9763889,87.49236111,165.9222222,2.761111111,995.5881944,7
27.49027778,224.6,85.20208333,183.0673611,2.725694444,995.5263889,9.6
25.51666667,110.9909722,94.02986111,232.4638889,1.979166667,997.00625,22.4
25.90138889,109.2298611,92.16736111,182.0618056,1.833333333,997.69375,3.6
27.38611111,179.6604167,85.67361111,187.5284722,2.315277778,996.6680556,21.6
26.51458333,212.0645833,89.60416667,174.2083333,1.934027778,997.0513889,2.2
27.19930556,155.0493056,78.84583333,202.2569444,3.082638889,997.3305556,0.2
27.77569444,214.4180556,78.00416667,198.3666667,2.702777778,997.6041667,0
28.03958333,193.2166667,78.20763889,177.3347222,2.270138889,997.5965278,0
28.96041667,245.9270833,71.24444444,194.2736111,2.636111111,997.4111111,0.2
27.60486111,273.33125,80.35555556,190.8256944,3.872916667,998.1,0
29.02684176,283.3321678,73.55126124,198.2220924,4.009492978,998.8639345,0.2
28.82361111,297.1111111,75.82708333,192.3611111,5.109722222,999.2506944,0
28.56875,291.9319444,76.42569444,186.1111111,3.643055556,999.3298611,0
27.11319444,216.5722222,80.73263889,184.1756944,3.720138889,999.5604167,8.4
26.56111111,180.6236111,82.85486111,180.0284722,2.667361111,998.1513889,0
28.17916667,257.9291667,78.72986111,182.3520833,2.700694444,997.5027778,0
28.60138889,254.2375,74.13194444,199.5569444,4.280555556,997.4458333,0.2
28.65555556,248.9166667,71.69305556,199.3048611,4.899305556,997.5895833,0
27.63263889,219.2041667,75.20555556,189.8458333,4.321527778,998.8694444,0
26.97013889,150.00625,86.93125,180.7493056,2.322916667,998.20625,28.2
25.79444444,103.84375,89.26736111,178.1152778,2.104861111,998.8006944,2.8
26.17638889,124.625,89.04583333,196.0076389,1.826388889,998.4138889,0
26.88472222,157.4951389,86.57152778,155.3909722,2.309722222,998.3486111,1
24.64513889,30.33194444,96.16388889,198.275,2.013888889,999.5895833,42.4
26.73333333,196.7743056,86.44722222,169.7305556,2.038194444,999.4791667,0
26.37406398,282.9870289,75.77487235,215.4984813,3.6692152,998.9472678,0
27.23263889,210.03125,77.95763889,177.0291667,2.295138889,998.9041667,0
27.53541667,203.0777778,80.26527778,175.9416667,2.425,999.1138889,0
25.20625,54.36944444,91.04097222,223.0506944,1.927777778,999.4534722,2.2
27.50416667,178.8013889,81.64513889,164.5208333,2.260416667,999.0694444,0.2
28.04722222,253.3680556,77.92152778,140.6430556,2.701388889,999.33125,0
27.35625,176.8590278,77.7625,174.6263889,2.3875,999.50625,0
26.10265668,85.66517978,86.95402372,198.2289975,2.16391573,998.9186474,8.6
27.62777778,28.94444444,81.36111111,161.9534722,1.998611111,998.2020833,0
27.32083333,30.4875,79.99930556,182.4743056,2.36875,997.8916667,0
27.98194444,32.53125,79.35694444,158.4069444,2.510416667,997.1798611,0
27.74652778,31.22291667,82.38333333,155.0291667,2.899305556,996.5777778,0
27.82083333,28.06527778,80.97916667,164.64375,2.715277778,996.6451389,0
26.9125,19.64027778,84.64930556,228.0180556,2.715277778,996.9097222,0.2
26.48125,24.57986111,87.04444444,205.4027778,1.997916667,996.4506944,4.8
26.80277778,26.44444444,84.85972222,212.6541667,2.063194444,997.1444444,0
27.40069444,33.14930556,77.42986111,202.2083333,4.448611111,997.1631944,0
26.81527778,32.39097222,79.25277778,202.3833333,3.01875,997.2083333,0
27.55347222,33.15625,79.94236111,164.1291667,2.052777778,997.1263889,0
27.72222222,22.62222222,81.97222222,156.3881944,2.19375,997.0763889,0
27.87986111,31.02361111,82.44513889,163.8125,2.224305556,998.0895833,0
26.99861111,29.23194444,85.72569444,199.3118056,3.038888889,998.9826389,3.8
26.50972222,22.20138889,82.31736111,198.1361111,3.64375,998.9979167,0.6
26.45486111,28.05902778,83.33541667,205.6458333,3.280555556,998.3416667,2.2
27.94930556,34.19722222,79.95208333,167.6659722,3.38125,997.9493056,0.4
27.88611111,30.28888889,79.7125,208.4055556,2.871527778,998.7291667,0
27.94791667,24.67569444,80.39722222,216.7263889,2.486111111,999.2423611,0
27.81180556,29.12638889,80.71111111,164.5548611,2.128472222,998.8041667,0
27.96527778,30.05,78.23819444,187.625,4.315277778,998.4236111,0
26.54513889,23.42638889,87.44930556,211.6270833,2.2375,998.2125,39
25.57361111,16.27916667,93.33194444,194.7881944,1.761111111,998.7138889,13.6
26.91666667,23.03055556,85.60694444,167.2791667,2.230555556,998.8736111,0.2
26.51736111,24.49027778,81.07152778,154.9256944,2.659722222,998.8659722,0
26.59444444,26.03958333,80.9375,177.6652778,2.647916667,998.5659722,0
26.81875,34.63194444,80.32638889,179.8055556,2.6125,998.1152778,0
27.01388889,31.87986111,79.56458333,182.4597222,2.647222222,997.5861111,0
26.40277778,17.74583333,83.99097222,195.1375,2.499305556,997.5868056,1.8
26.46666667,35.26666667,79.84861111,190.8520833,4.138888889,998.3784722,0
26.42708333,40.4875,76.75833333,199.3965278,3.211805556,999.6097222,0
26.59097222,36.52986111,74.72986111,173.4868056,2.661805556,999.7652778,0
27.225,37.83541667,77.27361111,166.1770833,2.816666667,999.5340278,0
27.03263889,40.55,75.1375,198.6263889,4.125694444,999.39375,0
26.65625,29.67638889,77.41180556,201.2951389,4.01875,998.8534722,0
26.77013889,30.67361111,74.20902778,153.3388889,2.6625,998.4777778,0
26.65625,27.72847222,77.29305556,180.6236111,2.875,998.8034722,0
26.87916667,24.46666667,75.65347222,178.1944444,3.96875,998.6805556,0
26.9524644,27.76900083,78.47296335,171.7452022,2.881287033,998.8477525,3
26.88263889,32.44513889,79.55555556,194.4409722,2.854166667,999.3819444,0
26.89305556,25.93194444,83.34444444,188.6236111,2.992361111,999.6319444,24
26.65833333,21.21111111,85.5,204.5888889,2.865277778,998.24375,16
25.96527778,25.53819444,89.38472222,167.6673611,2.347222222,997.8611111,28
25.38333333,17.16319444,91.43402778,196.7645833,2.365277778,1000.229861,25
25.75069444,26.93194444,87.37291667,161.9965278,2.605555556,1000.65,8
26.38680556,32.45833333,84.67013889,196.2430556,2.517361111,999.7965278,0
25.95138889,21.88402778,84.14027778,131.50625,2.503472222,999.8944444,1
26.22708333,34.56458333,80.91458333,144.4652778,2.552777778,1001.122917,0
26.74166667,30.75625,78.30416667,180.8965278,3.632638889,1001.263889,0
